НАЗВАНИЕ,ГОРОД,ID ТОЧКИ,АДРЕС,РЕЖИМ РАБОТЫ
Сберлогистика,Екатеринбург,Почтовый терминал,"ул. Репина, 94, Екатеринбург",Открыто до 20:00
"Оккам, логистическая компания",Екатеринбург,Складские услуги,"Россия, Свердловская область, Екатеринбург, Складской проезд, 11",До перерыва 17 мин
Сберлогистика,Екатеринбург,Пункт выдачи,"ул. Щербакова, 20, Екатеринбург",Круглосуточно
Сбер логистика,Екатеринбург,Пункт выдачи,"ул. Софьи Ковалевской, 1, Кировский район, микрорайон Втузгородок, Екатеринбург",Круглосуточно
Сберлогистика,Екатеринбург,Почтовый терминал,"просп. Ленина, 48, Екатеринбург, этаж 1",Круглосуточно
Сбер Логистика,Екатеринбург,Пункт выдачи,"ул. Якова Свердлова, 34, Екатеринбург",Открыто до 20:00
Сбер-логистика,Екатеринбург,Пункт выдачи,"ул. Малышева, 31В, Екатеринбург",Открыто до 19:30
Сберлогистика,Екатеринбург,Почтовый терминал,"ул. 8 Марта, 206Б, Екатеринбург",Открыто до 18:30
Сберлогистика,Екатеринбург,Почтовый терминал,"ул. 8 Марта, 171, Екатеринбург",Открыто до 19:00
Сберлогистика,Екатеринбург,Почтовый терминал,"ул. Машиностроителей, 18, Орджоникидзевский район, микрорайон Уралмаш, Екатеринбург",Открыто до 18:30
Сберлогистика,Екатеринбург,Пункт выдачи,"ул. Калинина, 31А, Орджоникидзевский район, микрорайон Уралмаш, Екатеринбург",Открыто до 18:30
Сберлогистика,Екатеринбург,Пункт выдачи,"ул. Тверитина, 34, Екатеринбург",Открыто до 18:00
Сберлогистика,Екатеринбург,Почтовый терминал,"ул. Машиностроителей, 19, Орджоникидзевский район, микрорайон Уралмаш, Екатеринбург",Открыто до 18:30
Сбер логистика,Екатеринбург,Почтовый терминал,"Белореченская ул., 16, микрорайон Юго-Западный, Екатеринбург",Круглосуточно
Сбер логистика,Екатеринбург,не указан,"ул. Татищева, 62, Екатеринбург",Открыто до 18:30
Сберлогистика,Екатеринбург,не указан,"Мельковская ул., 2Б, Екатеринбург",Круглосуточно
Сберлогистика,Екатеринбург,не указан,"ул. Малышева, 103, корп. 1, Екатеринбург",Круглосуточно
Сберлогистика,Екатеринбург,не указан,"ул. Мамина-Сибиряка, 130, Екатеринбург",Круглосуточно
Сбербанк логистика,Екатеринбург,не указан,"ул. 8 Марта, 61, Екатеринбург",Круглосуточно
Сбер логистика,Казань,Почтовый терминал,"ул. Вишневского, 57",Круглосуточно
Сбер логистика,Казань,Почтовый терминал,"ул. Академика Губкина, 3",Открыто до 20:00
Сбер логистика,Казань,Почтовый терминал,"ул. Достоевского, 53/4",Круглосуточно
Сберлогистика,Казань,Почтовый терминал,"просп. Победы, 17",Круглосуточно
Сбер логистика,Казань,Почтовый терминал,"просп. Ямашева, 54, корп. 3",Круглосуточно
Сберлогистика,Казань,Почтовый терминал,"ул. Рихарда Зорге, 70/1, Приволжский район",Круглосуточно
Сбер логистика,Казань,Почтовый терминал,"ул. Юлиуса Фучика, 94",Открыто до 20:00
Сберб логистика,Казань,Почтовый терминал,"просп. Альберта Камалеева, 26",Круглосуточно
СберЛогистика,Казань,Почтовый терминал,"ул. Академика Глушко, 17А",Круглосуточно
Сбер логистика,Казань,Почтовый терминал,"Россия, Республика Татарстан, Казань, улица Карбышева",Открыто до 20:00
Сбер логистика,Казань,Почтовый терминал,"ул. Фатыха Амирхана, 71",Круглосуточно
"Сбер логистика, почтовый терминал",Казань,Почтовый терминал,"ул. Адоратского, 12",Круглосуточно
Сбер логистика,Казань,Почтовый терминал,"ул. Татарстан, 3/2, Вахитовский район",Круглосуточно
Сберлогистика,Казань,Почтовый терминал,"ул. Юлиуса Фучика, 145А",Круглосуточно
СберЛогистика,Казань,Почтовый терминал,"ул. Маршала Чуйкова, 2В",Круглосуточно
Сбер логистика,Казань,Почтовый терминал,"Авангардная ул., 167А",Круглосуточно
Сбер логистика,Казань,Почтовый терминал,"ул. Хусаина Мавлютова, 9",Открыто до 18:00
Сбер логистика,Казань,Почтовый терминал,"Главная ул., 56, Советский район, посёлок Дербышки",Круглосуточно
Сбер логистика,Казань,Почтовый терминал,"ул. Мира, 55, Советский район, посёлок Дербышки",Круглосуточно
СберЛогистика,Казань,не указан,"просп. Победы, 62",Круглосуточно
"СберЛогистика, служба курьерской доставки",Казань,не указан,"ул. Академика Парина, 6",Открыто до 18:30
Сберб логистика,Москва,Почтовый терминал,"просп. Альберта Камалеева, 26",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"ул. Чистова, 16, корп. 2, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"ул. Адмирала Макарова, 45, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"ул. Вавилова, 24, корп. 1, Москва",График работы не указан
Сбер логистика,Москва,Почтовый терминал,"Смольная ул., 35, стр. 1, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"Первомайская ул., 42, Москва",До открытия 29 мин
Сбер логистика,Москва,Почтовый терминал,"ул. Габричевского, 10, корп. 3, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"Коровинское ш., 21, корп. 1, Москва",Круглосуточно
Сбер Логистика,Москва,Почтовый терминал,"Кастанаевская ул., 54, корп. 3, Москва, этаж 1",До открытия 29 мин
Сберлогистика,Москва,Почтовый терминал,"Старокачаловская ул., 1, корп. 1, Москва",Открыто до 18:00
Сбер логистика,Москва,Пункт выдачи,"Кантемировская ул., 47, Москва",График работы не указан
Сберлогистика,Москва,Почтовый терминал,"Новослободская ул., 16, Москва",Открыто до 19:30
Сбер Логистика,Москва,Почтовый терминал,"Пронская ул., 2, Москва",Открыто до 20:00
Сбер Логистика,Москва,Почтовый терминал,"просп. Вернадского, 41, стр. 3, Москва",График работы не указан
СберЛогистика,Москва,Почтовый терминал,"ул. Исаковского, 2, корп. 1, Москва",До открытия 29 мин
Сберлогистика,Москва,Почтовый терминал,"Таганская ул., 31/22, Москва",Открыто до 19:30
Сбер логистика,Москва,Почтовый терминал,"ул. Свободы, 55, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"Сходненская ул., 9, Москва",Круглосуточно
Сбер Логистика,Москва,Почтовый терминал,"ул. Архитектора Власова, 39, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"ул. Архитектора Щусева, 2, корп. 1, Москва",Круглосуточно
Сбер логистика,Москва,Складские услуги,"ул. Стромынка, 19А, корп. 1, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"просп. Андропова, 42, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Марксистская ул., 9, Москва",Открыто до 19:30
Сбер логистика,Москва,Почтовый терминал,"Химкинский бул., 21, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Большая Академическая ул., 15, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Придорожная ул., 7А, д. Шарапово",График работы не указан
СберЛогистика,Москва,Почтовый терминал,"Ярославское ш., 10, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"ул. Фабрициуса, 18, корп. 2, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"ул. Героев Панфиловцев, 16, корп. 1, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"ул. Расплетина, 10, корп. 1, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"Щербаковская ул., 53, стр. 1, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"Ленинградский просп., 59, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Дмитровское ш., 155, корп. 1, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"3-й Митинский пер., 6, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Верхняя Первомайская ул., 59/35к2, Москва",Открыто до 19:30
Сбер логистика,Москва,Почтовый терминал,"Щёлковское ш., вл75, Москва",График работы не указан
Сберлогистика,Москва,Почтовый терминал,"Большая Семёновская ул., 28, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"Большая Черкизовская ул., 22, корп. 1, Москва",До открытия 29 мин
Сберлогистика,Москва,Почтовый терминал,"Широкая ул., 12, Москва",Открыто до 20:30
СберЛогистика,Москва,Почтовый терминал,"ул. Гризодубовой, 4, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"ул. Маршала Василевского, 17, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"просп. Будённого, 30/8, Москва",График работы не указан
Сберлогистика,Москва,Почтовый терминал,"ул. Дмитриевского, 21, Москва",Круглосуточно
Сбер Логистика,Москва,Почтовый терминал,"ул. Маршала Захарова, 13, корп. 1, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"ул. Народного Ополчения, 39, корп. 1, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"Большая Дорогомиловская ул., 10, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"ул. Вавилова, 19, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"Кутузовский просп., 9, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Экспедирование грузов,"Кутузовский просп., 30, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Селезнёвская ул., 32, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"ул. Народного Ополчения, 20, корп. 1, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"1-я Тверская-Ямская ул., 11, Москва",До открытия 29 мин
СберЛогистика,Москва,Почтовый терминал,"Ленинградский просп., 76, корп. 2, Москва",Открыто до 19:30
Сберлогистика,Москва,Почтовый терминал,"ул. Плющиха, 42, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Петровский бул., 23, Москва",Открыто до 19:30
СберЛогистика,Москва,Почтовый терминал,"Неманский пр., 9, Москва",Круглосуточно
"Сбер Логистика, сеть постаматов",Москва,Почтовый терминал,"Хорошёвское ш., 27, Москва",Открыто до 21:00
СберЛогистик,Москва,Почтовый терминал,"Ходынский бул., 2, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Дмитровское ш., 98, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Башиловская ул., 11, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Алтуфьевское ш., 8, Москва, этаж 1",Открыто до 23:00
Сберлогистика,Москва,Почтовый терминал,"Новотушинский пр., 8, корп. 1, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"Кутузовский просп., 27, Москва",До открытия 29 мин
Сберлогистика,Москва,Почтовый терминал,"Щёлковское ш., 34, стр. 3, Москва",График работы не указан
СберЛогистика,Москва,Почтовый терминал,"Медынская ул., 5А, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"ул. Ивана Франко, 36, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Рублёвское ш., 42, корп. 1, Москва",График работы не указан
Сберлогистика,Москва,Почтовый терминал,"Можайское ш., 4, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"пр. Дежнёва, 27, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Молодогвардейская ул., 25, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Осенний бул., 23, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"просп. Маршала Жукова, 44, Москва",Круглосуточно
СберЛогистика,Москва,Почтовый терминал,"Кастанаевская ул., 24, Москва, этаж 2",Открыто до 19:30
Сберлогистика,Москва,Почтовый терминал,"Красноказарменная ул., 23, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Петровско-Разумовский пр., 24, корп. 2, Москва",Круглосуточно
СберЛогистика,Москва,Экспедирование грузов,"ул. Верхняя Масловка, 25, корп. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Енисейская ул., 29, стр. 1, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Смоленская ул., 6, Москва",Круглосуточно
Сберлогистика,Москва,Почтовый терминал,"Шоссейная ул., 1/2с2, Москва",Круглосуточно
Сбер логистика,Москва,Почтовый терминал,"Октябрьский просп., 304, Люберцы",Круглосуточно
Сберлогистика,Москва,не указан,"Пятницкое ш., 43, корп. 2, Москва",Круглосуточно
Сберлогистика,Москва,не указан,"Пятницкое ш., 39, Москва",Круглосуточно
СберЛогистика,Москва,не указан,"Брянская ул., 8, Москва",Открыто до 19:30
Сберлогистика,Москва,не указан,"ул. Нижняя Масловка, 14, Москва",Круглосуточно
СберЛогистика,Москва,не указан,"Таллинская ул., 26, Москва",Открыто до 19:30
Сберлогистика,Москва,не указан,"Дмитровское ш., 64, корп. 2, Москва",Круглосуточно
СберЛогистика,Москва,не указан,"ул. Генерала Белобородова, 13, Москва",Круглосуточно
СберЛогистика,Москва,не указан,"просп. Мира, 211, корп. 2, Москва, этаж 1",До открытия 28 мин
Сберлогистика,Москва,не указан,"ул. Егора Абакумова, 10, корп. 1, Москва",Круглосуточно
"СберЛогистика, служба курьерской доставки",Москва,не указан,"Тушинская ул., 17, Москва",Открыто до 20:00
"Сбер Логистика, сеть постаматов",Москва,не указан,"Ленинский просп., 45, Москва",Круглосуточно
Сберлогистика,Москва,не указан,"Молодёжная ул., 21, Одинцово",Открыто до 20:00
Сберлогистика,Москва,не указан,"Сухонская ул., 9А, Москва",Круглосуточно
Сберлогистика,Москва,не указан,"ул. Земляной Вал, 42, стр. 1, Москва",Круглосуточно
Сберлогистика,Москва,не указан,"Бескудниковский бул., 40, корп. 3, Москва",Открыто до 18:30
"Сбер Логистика, служба курьерской доставки",Москва,не указан,"Шипиловский пр., 39, корп. 1, Москва",Открыто до 19:30
Сберлогистика,Москва,не указан,"ул. Римского-Корсакова, 2, Москва",Круглосуточно
Сбер Логистика,Нижний Новгород,Почтовый терминал,"ул. Ванеева, 24, Нижний Новгород",Круглосуточно
Багира,Нижний Новгород,Ветеринарная клиника,"Россия, Нижний Новгород, Малая Ямская улица, 3, этаж 1",Открыто до 20:00
Багира,Нижний Новгород,Ветеринарная клиника,"Россия, Нижний Новгород, улица Ванеева, 227",Открыто до 20:00
Сбер логистика,Нижний Новгород,Почтовый терминал,"просп. Гагарина, 20, Нижний Новгород, этаж 1",Круглосуточно
Сбер Логистика,Нижний Новгород,Почтовый терминал,"ул. Родионова, 165, корп. 13, Нижний Новгород",До открытия 19 мин
Сберлогистика,Нижний Новгород,Почтовый терминал,"Совнаркомовская ул., 34, Нижний Новгород",Открыто до 19:00
Сбер Логистика,Нижний Новгород,Почтовый терминал,"ул. Сергея Есенина, 17А, Канавинский район, жилой район Мещерское Озеро, Нижний Новгород",Открыто до 18:30
СберЛогистика,Нижний Новгород,Почтовый терминал,"просп. Ленина, 53, Нижний Новгород",Открыто до 19:00
Сбер Логистика,Нижний Новгород,Почтовый терминал,"ул. Карла Маркса, 7А, Канавинский район, жилой район Мещерское Озеро, Нижний Новгород",Открыто до 18:30
Сберлогистика,Нижний Новгород,Почтовый терминал,"Сормовское ш., 20, Нижний Новгород, этаж 1",До открытия 19 мин
Сберлогистика,Нижний Новгород,Почтовый терминал,"Берёзовская ул., 65, Нижний Новгород",График работы не указан
Сберлогистика,Нижний Новгород,Почтовый терминал,"Берёзовская ул., 95, Нижний Новгород",График работы не указан
Сбер Логистика,Нижний Новгород,Почтовый терминал,"Большая Покровская ул., 3, Нижний Новгород",Круглосуточно
Сберлогистика,Нижний Новгород,Почтовый терминал,"Электровозная ул., 7Б, Нижний Новгород",Открыто до 18:00
Сберлогистика,Нижний Новгород,Почтовый терминал,"ул. Бекетова, 13А, Нижний Новгород",Круглосуточно
Сбер Логистика,Нижний Новгород,не указан,"площадь Максима Горького, 4, Нижний Новгород",Круглосуточно
СберЛогистика,Нижний Новгород,не указан,"Заречный бул., 3, Нижний Новгород",Открыто до 18:00
Сбер Логистика,Оренбург,Почтовый терминал,"просп. Победы, 18, Оренбург",Круглосуточно
Сбер Логистика,Оренбург,Почтовый терминал,"просп. Братьев Коростелевых, 46, Оренбург",Круглосуточно
Сберлогистика,Оренбург,Почтовый терминал,"ул. Рокоссовского, 33, Оренбург",Открыто до 20:30
Сбербанк России,Оренбург,Банк,"Новая ул., 4, Оренбург",Открыто до 19:00
Сбер логистика,Санкт-Петербург,Почтовый терминал,"просп. Пятилеток, 10, корп. 1, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"Среднеохтинский просп., 10, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"просп. КИМа, 4, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"ул. Олеко Дундича, 17, корп. 1, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"11-я линия Васильевского острова, 14/39, Санкт-Петербург",До открытия 20 мин
Сбер логистика,Санкт-Петербург,Почтовый терминал,"Ленинский просп., 129, Санкт-Петербург",До открытия 20 мин
Сбер логистика,Санкт-Петербург,Почтовый терминал,"Наличная ул., 41/14, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"ул. Бутлерова, 40, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"просп. Ветеранов, 114, корп. 1, Санкт-Петербург",Круглосуточно
СберЛогистика,Санкт-Петербург,Почтовый терминал,"ул. Маршала Говорова, 12, корп. 1, Санкт-Петербург",Круглосуточно
Сберлогистика,Санкт-Петербург,Почтовый терминал,"просп. Ветеранов, 130, Санкт-Петербург",Круглосуточно
Сберлогистика,Санкт-Петербург,Почтовый терминал,"Яхтенная ул., 10, корп. 1, Санкт-Петербург",Круглосуточно
Сбер Логистика,Санкт-Петербург,Почтовый терминал,"просп. Ветеранов, 78, Санкт-Петербург",Открыто до 00:00
Сберлогистика,Санкт-Петербург,Почтовый терминал,"просп. Энгельса, 124, корп. 1, Санкт-Петербург",Круглосуточно
Сбер логистика,Санкт-Петербург,Почтовый терминал,"Средний просп. Васильевского острова, 35, Санкт-Петербург",До открытия 20 мин
СберЛогистика,Санкт-Петербург,Почтовый терминал,"просп. Стачек, 90, Санкт-Петербург",Круглосуточно
